country_or_region,year,material_type,management_type,quantity
Algeria,None,metal,,2.84
Algeria,None,metal,,1.9
Ecuador,None,metal,,0.9
"Egypt, Arab Rep.",None,metal,,7.2
Spain,None,metal,,2.3
Spain,None,metal,,5.8
Estonia,None,metal,,5.0
Estonia,None,metal,,3.84
Ethiopia,None,metal,,5.1
Ethiopia,None,metal,,
Ethiopia,None,metal,,1.05
Ethiopia,None,metal,,2.55
Ethiopia,None,metal,,3.5
Ethiopia,None,metal,,
Ethiopia,None,metal,,3.0
Ethiopia,None,metal,,1.0
Ethiopia,None,metal,,0.39
Ethiopia,None,metal,,1.5
Ethiopia,None,metal,,
Ethiopia,None,metal,,0.49
Finland,None,metal,,
Finland,None,metal,,2.3
Finland,None,metal,,1.6
Fiji,None,metal,,3.6
France,None,metal,,
France,None,metal,,3.8
"Micronesia, Fed. Sts.",None,metal,,25.7
Gabon,None,metal,,
United Kingdom,None,metal,,4.0
United Kingdom,None,metal,,1.0
Georgia,None,metal,,1.1
Ghana,None,metal,,3.1
Ghana,None,metal,,4.5
Guinea,None,metal,,0.9
"Gambia, The",None,metal,,1.4
Equatorial Guinea,None,metal,,1.4
Greece,None,metal,,1.28
Greece,None,metal,,3.9
Guatemala,None,metal,,
Guatemala,None,metal,,2.8
Guatemala,None,metal,,
Honduras,None,metal,,4.0
Honduras,None,metal,,1.29
Croatia,None,metal,,3.8
Croatia,None,metal,,
Haiti,None,metal,,1.5
Hungary,None,metal,,3.62
Hungary,None,metal,,7.0
Indonesia,None,metal,,1.06
Isle of Man,None,metal,,
India,None,metal,,1.0
India,None,metal,,
India,None,metal,,
India,None,metal,,
India,None,metal,,
India,None,metal,,
India,None,metal,,0.52
India,None,metal,,
India,None,metal,,
India,None,metal,,3.0
India,None,metal,,
India,None,metal,,2.49
India,None,metal,,
India,None,metal,,
India,None,metal,,
India,None,metal,,1.0
India,None,metal,,0.01
India,None,metal,,0.41
India,None,metal,,0.8
India,None,metal,,
India,None,metal,,
India,None,metal,,
India,None,metal,,
India,None,metal,,
India,None,metal,,0.26
India,None,metal,,
India,None,metal,,
India,None,metal,,3.0
India,None,metal,,
India,None,metal,,
India,None,metal,,
India,None,metal,,
India,None,metal,,
India,None,metal,,0.64
India,None,metal,,1.0
India,None,metal,,
India,None,metal,,
India,None,metal,,0.03
India,None,metal,,0.5
India,None,metal,,
India,None,metal,,
India,None,metal,,
India,None,metal,,
India,None,metal,,0.26
India,None,metal,,
India,None,metal,,
India,None,metal,,
Ireland,None,metal,,2.0
"Iran, Islamic Rep.",None,metal,,1.5
Iraq,None,metal,,
Israel,None,metal,,
Israel,None,metal,,
Italy,None,metal,,10.01
Italy,None,metal,,1.5
Jordan,None,metal,,1.0
Japan,None,metal,,0.76
Japan,None,metal,,0.76
Japan,None,metal,,3.2
Japan,None,metal,,2.8
Japan,None,metal,,0.8
Japan,None,metal,,0.5
Kazakhstan,None,metal,,2.9
Kazakhstan,None,metal,,
Kenya,None,metal,,
Kenya,None,metal,,2.0
Kyrgyz Republic,None,metal,,1.27
Kyrgyz Republic,None,metal,,4.0
Cambodia,None,metal,,2.0
Kiribati,None,metal,,8.4
"Korea, Rep.",None,metal,,9.9
Kuwait,None,metal,,
Lao PDR,None,metal,,1.0
Lebanon,None,metal,,6.0
Lebanon,None,metal,,5.0
Liberia,None,metal,,1.0
Libya,None,metal,,6.7
Sri Lanka,None,metal,,0.7
Sri Lanka,None,metal,,2.0
Sri Lanka,None,metal,,1.0
Sri Lanka,None,metal,,0.3
Sri Lanka,None,metal,,0.7
Sri Lanka,None,metal,,0.9
Lithuania,None,metal,,7.2
Lithuania,None,metal,,3.01
Latvia,None,metal,,3.0
Latvia,None,metal,,
Morocco,None,metal,,
Morocco,None,metal,,1.0
Morocco,None,metal,,2.0
Moldova,None,metal,,0.7
Moldova,None,metal,,2.0
Madagascar,None,metal,,0.1
Maldives,None,metal,,3.0
Maldives,None,metal,,4.0
Maldives,None,metal,,2.13
Mexico,None,metal,,1.45
Mexico,None,metal,,0.77
Mexico,None,metal,,1.8
Marshall Islands,None,metal,,11.0
"Macedonia, FYR",None,metal,,0.1
"Macedonia, FYR",None,metal,,1.2
Mali,None,metal,,14.0
Mali,None,metal,,
Myanmar,None,metal,,1.0
Myanmar,None,metal,,1.0
Montenegro,None,metal,,2.6
Montenegro,None,metal,,
Mongolia,None,metal,,3.5
Northern Mariana Islands,None,metal,,
Mozambique,None,metal,,4.0
Mauritania,None,metal,,4.0
Malawi,None,metal,,
Malawi,None,metal,,
Malaysia,None,metal,,5.3
Namibia,None,metal,,5.0
Niger,None,metal,,1.0
Nigeria,None,metal,,
Nigeria,None,metal,,5.0
Nigeria,None,metal,,5.0
Nigeria,None,metal,,2.8
Nigeria,None,metal,,5.0
Nicaragua,None,metal,,2.03
Nicaragua,None,metal,,1.28
Netherlands,None,metal,,2.9
Netherlands,None,metal,,3.0
Norway,None,metal,,5.0
Norway,None,metal,,
Nepal,None,metal,,1.56
Nepal,None,metal,,4.18
Nepal,None,metal,,2.37
Nepal,None,metal,,1.23
Nepal,None,metal,,2.09
Nepal,None,metal,,0.53
Nepal,None,metal,,0.24
Nepal,None,metal,,1.58
Nepal,None,metal,,6.33
Nepal,None,metal,,0.01
Nepal,None,metal,,0.21
Nepal,None,metal,,2.73
New Zealand,None,metal,,2.7
New Zealand,None,metal,,1.3
Oman,None,metal,,
Pakistan,None,metal,,0.75
Pakistan,None,metal,,0.07
Pakistan,None,metal,,3.4
Panama,None,metal,,5.0
Panama,None,metal,,
Panama,None,metal,,
Peru,None,metal,,3.45
Philippines,None,metal,,1.0
Philippines,None,metal,,0.86
Palau,None,metal,,13.0
Papua New Guinea,None,metal,,9.4
Poland,None,metal,,
Poland,None,metal,,2.25
Portugal,None,metal,,1.5
Portugal,None,metal,,2.0
Paraguay,None,metal,,1.3
Paraguay,None,metal,,1.6
Paraguay,None,metal,,2.0
West Bank and Gaza,None,metal,,
Qatar,None,metal,,
Romania,None,metal,,2.5
Romania,None,metal,,3.03
Russian Federation,None,metal,,2.0
Russian Federation,None,metal,,3.5
Russian Federation,None,metal,,7.0
Rwanda,None,metal,,1.93
Rwanda,None,metal,,
Saudi Arabia,None,metal,,2.0
Saudi Arabia,None,metal,,2.4
Senegal,None,metal,,
Solomon Islands,None,metal,,9.2
Sierra Leone,None,metal,,6.2
El Salvador,None,metal,,2.0
Somalia,None,metal,,2.5
Serbia,None,metal,,2.38
Serbia,None,metal,,1.41
South Sudan,None,metal,,7.0
Slovak Republic,None,metal,,
Slovak Republic,None,metal,,1.0
Slovenia,None,metal,,
Sweden,None,metal,,4.2
Sweden,None,metal,,2.0
Syrian Arab Republic,None,metal,,4.0
Togo,None,metal,,
Thailand,None,metal,,1.15
Tajikistan,None,metal,,
Tajikistan,None,metal,,5.0
Turkmenistan,None,metal,,3.0
Timor-Leste,None,metal,,1.0
Tonga,None,metal,,9.0
Tonga,None,metal,,9.0
Tunisia,None,metal,,2.8
Tunisia,None,metal,,4.0
Tunisia,None,metal,,2.0
Turkey,None,metal,,2.4
Turkey,None,metal,,0.5
Tuvalu,None,metal,,9.8
Tanzania,None,metal,,1.7
Tanzania,None,metal,,2.0
Tanzania,None,metal,,8.0
Uganda,None,metal,,3.1
Ukraine,None,metal,,0.6
Ukraine,None,metal,,1.0
Uruguay,None,metal,,2.06
United States,None,metal,,3.1
United States,None,metal,,0.1
United States,None,metal,,
Uzbekistan,None,metal,,
Uzbekistan,None,metal,,3.4
"Venezuela, RB",None,metal,,
Vietnam,None,metal,,0.9
Vietnam,None,metal,,0.2
Vanuatu,None,metal,,4.6
Samoa,None,metal,,8.83
Kosovo,None,metal,,
Kosovo,None,metal,,1.18
"Yemen, Rep.",None,metal,,6.0
South Africa,None,metal,,
South Africa,None,metal,,14.0
South Africa,None,metal,,3.0
South Africa,None,metal,,4.4
South Africa,None,metal,,6.9
Zambia,None,metal,,
Zambia,None,metal,,2.0
Zimbabwe,None,metal,,3.0
Zimbabwe,None,metal,,12.0
Zimbabwe,None,metal,,4.9
Zimbabwe,None,metal,,5.4
Zimbabwe,None,metal,,
Zimbabwe,None,metal,,3.8
Zimbabwe,None,metal,,3.0
Zimbabwe,None,metal,,5.0
Zimbabwe,None,metal,,6.0
,None,metal,,
Afghanistan,None,other,,84.854
Afghanistan,None,other,,64.364
Afghanistan,None,other,,28.87
Afghanistan,None,other,,63.0
Afghanistan,None,other,,23.05
Angola,None,other,,43.0
Albania,None,other,,37.0
Albania,None,other,,24.08
United Arab Emirates,None,other,,10.0
United Arab Emirates,None,other,,7.55
Argentina,None,other,,15.0
Argentina,None,other,,11.31
Argentina,None,other,,18.0
Armenia,None,other,,34.5
Armenia,None,other,,42.75
American Samoa,None,other,,25.6
Australia,None,other,,22.0
Australia,None,other,,1.0
Australia,None,other,,15.0
Austria,None,other,,16.8
Azerbaijan,None,other,,20.6
Burundi,None,other,,
Burundi,None,other,,
Burundi,None,other,,
Burundi,None,other,,
Belgium,None,other,,20.0
Belgium,None,other,,
Benin,None,other,,
Benin,None,other,,29.62
Burkina Faso,None,other,,
Burkina Faso,None,other,,35.0
Bangladesh,None,other,,5.95
Bangladesh,None,other,,6.08
Bangladesh,None,other,,12.74
Bangladesh,None,other,,4.57
Bangladesh,None,other,,9.91
Bulgaria,None,other,,
Bulgaria,None,other,,
Bahrain,None,other,,
Bosnia and Herzegovina,None,other,,16.3
Bosnia and Herzegovina,None,other,,51.0
Belarus,None,other,,35.0
Belarus,None,other,,44.3
Belize,None,other,,
Belize,None,other,,8.0
Bolivia,None,other,,20.7
Brazil,None,other,,4.4
Brazil,None,other,,6.3
Brazil,None,other,,22.0
Bhutan,None,other,,2.3
Bhutan,None,other,,4.2
Botswana,None,other,,2.5
Canada,None,other,,8.2
Canada,None,other,,26.7
Canada,None,other,,18.0
Switzerland,None,other,,
Switzerland,None,other,,
Chile,None,other,,16.0
China,None,other,,6.6
Côte d’Ivoire,None,other,,35.0
Cameroon,None,other,,16.3
Cameroon,None,other,,
Cameroon,None,other,,
Cameroon,None,other,,
"Congo, Dem. Rep.",None,other,,
"Congo, Rep.",None,other,,9.9
Colombia,None,other,,7.34
Colombia,None,other,,25.86
Colombia,None,other,,27.94
Comoros,None,other,,
Costa Rica,None,other,,20.0
Costa Rica,None,other,,26.8
Cuba,None,other,,1.0
Cyprus,None,other,,20.0
Cyprus,None,other,,
Czech Republic,None,other,,
Czech Republic,None,other,,
Germany,None,other,,32.79
Germany,None,other,,28.0
Djibouti,None,other,,
Denmark,None,other,,
Dominican Republic,None,other,,11.0
Algeria,None,other,,0.84
Algeria,None,other,,4.3
Ecuador,None,other,,20.92
"Egypt, Arab Rep.",None,other,,10.5
Spain,None,other,,24.6
Spain,None,other,,43.76
Estonia,None,other,,15.0
Estonia,None,other,,74.86
Ethiopia,None,other,,28.1
Ethiopia,None,other,,13.8
Ethiopia,None,other,,29.55
Ethiopia,None,other,,33.05
Ethiopia,None,other,,26.5
Ethiopia,None,other,,11.14
Ethiopia,None,other,,27.0
Ethiopia,None,other,,26.0
Ethiopia,None,other,,32.19
Ethiopia,None,other,,15.3
Ethiopia,None,other,,5.9
Ethiopia,None,other,,37.47
Finland,None,other,,
Finland,None,other,,17.1
Finland,None,other,,19.9
Fiji,None,other,,6.2
France,None,other,,
France,None,other,,25.1
"Micronesia, Fed. Sts.",None,other,,8.8
Gabon,None,other,,
United Kingdom,None,other,,8.0
United Kingdom,None,other,,23.0
Georgia,None,other,,4.8
Ghana,None,other,,11.3
Ghana,None,other,,18.6
Guinea,None,other,,1.7
"Gambia, The",None,other,,53.14
Equatorial Guinea,None,other,,2.0
Greece,None,other,,88.87
Greece,None,other,,6.8
Guatemala,None,other,,22.5
Guatemala,None,other,,19.4
Guatemala,None,other,,21.7
Honduras,None,other,,13.0
Honduras,None,other,,6.18
Croatia,None,other,,21.7
Croatia,None,other,,
Haiti,None,other,,14.2
Hungary,None,other,,13.54
Hungary,None,other,,32.4
Indonesia,None,other,,7.59
Isle of Man,None,other,,
India,None,other,,20.0
India,None,other,,
India,None,other,,
India,None,other,,
India,None,other,,35.0
India,None,other,,
India,None,other,,29.0
India,None,other,,
India,None,other,,
India,None,other,,47.0
India,None,other,,
India,None,other,,20.54
India,None,other,,2.0
India,None,other,,
India,None,other,,
India,None,other,,12.0
India,None,other,,12.0
India,None,other,,40.0
India,None,other,,63.38
India,None,other,,15.0
India,None,other,,36.0
India,None,other,,35.0
India,None,other,,25.0
India,None,other,,
India,None,other,,33.65
India,None,other,,
India,None,other,,32.0
India,None,other,,24.0
India,None,other,,25.0
India,None,other,,
India,None,other,,
India,None,other,,9.4
India,None,other,,
India,None,other,,18.94
India,None,other,,15.0
India,None,other,,
India,None,other,,
India,None,other,,37.65
India,None,other,,27.0
India,None,other,,17.5
India,None,other,,20.6
India,None,other,,48.0
India,None,other,,
India,None,other,,17.34
India,None,other,,
India,None,other,,10.0
India,None,other,,15.53
Ireland,None,other,,10.0
"Iran, Islamic Rep.",None,other,,9.9
Iraq,None,other,,
Israel,None,other,,
Israel,None,other,,
Italy,None,other,,17.43
Italy,None,other,,14.4
Jordan,None,other,,15.0
Japan,None,other,,14.57
Japan,None,other,,10.07
Japan,None,other,,12.0
Japan,None,other,,1.7
Japan,None,other,,14.3
Japan,None,other,,12.6
Kazakhstan,None,other,,22.5
Kazakhstan,None,other,,
Kenya,None,other,,
Kenya,None,other,,11.4
Kyrgyz Republic,None,other,,7.06
Kyrgyz Republic,None,other,,23.0
Cambodia,None,other,,9.0
Kiribati,None,other,,0.5
"Korea, Rep.",None,other,,30.4
Kuwait,None,other,,
Lao PDR,None,other,,6.0
Lebanon,None,other,,2.0
Lebanon,None,other,,
Liberia,None,other,,42.0
Libya,None,other,,19.5
Sri Lanka,None,other,,6.7
Sri Lanka,None,other,,7.6
Sri Lanka,None,other,,40.0
Sri Lanka,None,other,,8.4
Sri Lanka,None,other,,6.7
Sri Lanka,None,other,,5.0
Lithuania,None,other,,18.0
Lithuania,None,other,,28.87
Latvia,None,other,,37.0
Latvia,None,other,,
Morocco,None,other,,
Morocco,None,other,,7.0
Morocco,None,other,,17.0
Moldova,None,other,,60.9
Moldova,None,other,,10.0
Madagascar,None,other,,54.07
Maldives,None,other,,16.25
Maldives,None,other,,11.0
Maldives,None,other,,13.65
Mexico,None,other,,22.87
Mexico,None,other,,22.41
Mexico,None,other,,39.87
Marshall Islands,None,other,,12.2
"Macedonia, FYR",None,other,,2.0
"Macedonia, FYR",None,other,,48.4
Mali,None,other,,23.0
Mali,None,other,,
Myanmar,None,other,,11.0
Myanmar,None,other,,10.0
Montenegro,None,other,,17.54
Montenegro,None,other,,
Mongolia,None,other,,27.0
Northern Mariana Islands,None,other,,
Mozambique,None,other,,4.0
Mauritania,None,other,,59.0
Malawi,None,other,,
Malawi,None,other,,
Malaysia,None,other,,2.53
Namibia,None,other,,10.0
Niger,None,other,,57.0
Nigeria,None,other,,32.0
Nigeria,None,other,,12.0
Nigeria,None,other,,29.0
Nigeria,None,other,,4.2
Nigeria,None,other,,27.0
Nicaragua,None,other,,8.54
Nicaragua,None,other,,8.64
Netherlands,None,other,,39.2
Netherlands,None,other,,17.0
Norway,None,other,,28.0
Norway,None,other,,
Nepal,None,other,,7.85
Nepal,None,other,,4.88
Nepal,None,other,,13.84
Nepal,None,other,,8.58
Nepal,None,other,,3.38
Nepal,None,other,,6.55
Nepal,None,other,,18.17
Nepal,None,other,,2.81
Nepal,None,other,,9.75
Nepal,None,other,,26.23
Nepal,None,other,,1.86
Nepal,None,other,,8.66
New Zealand,None,other,,17.4
New Zealand,None,other,,12.2
Oman,None,other,,
Pakistan,None,other,,48.0
Pakistan,None,other,,21.824
Pakistan,None,other,,16.3
Panama,None,other,,4.0
Panama,None,other,,
Panama,None,other,,
Peru,None,other,,17.07
Philippines,None,other,,12.0
Philippines,None,other,,25.76
Palau,None,other,,7.0
Papua New Guinea,None,other,,12.5
Poland,None,other,,
Poland,None,other,,24.93
Portugal,None,other,,24.0
Portugal,None,other,,25.26
Paraguay,None,other,,23.6
Paraguay,None,other,,1.5
Paraguay,None,other,,52.0
West Bank and Gaza,None,other,,
Qatar,None,other,,
Romania,None,other,,20.0
Romania,None,other,,
Russian Federation,None,other,,24.0
Russian Federation,None,other,,21.6
Russian Federation,None,other,,15.0
Rwanda,None,other,,2.0
Rwanda,None,other,,
Saudi Arabia,None,other,,5.0
Saudi Arabia,None,other,,13.0
Senegal,None,other,,
Solomon Islands,None,other,,7.2
Sierra Leone,None,other,,21.8
El Salvador,None,other,,8.0
Somalia,None,other,,35.2
Serbia,None,other,,14.96
Serbia,None,other,,9.11
South Sudan,None,other,,25.0
Slovak Republic,None,other,,14.7
Slovak Republic,None,other,,
Slovenia,None,other,,
Sweden,None,other,,48.2
Sweden,None,other,,18.0
Syrian Arab Republic,None,other,,22.3
Togo,None,other,,36.0
Thailand,None,other,,6.41
Tajikistan,None,other,,
Tajikistan,None,other,,55.5
Turkmenistan,None,other,,34.0
Timor-Leste,None,other,,17.0
Tonga,None,other,,8.9
Tonga,None,other,,8.9
Tunisia,None,other,,17.0
Tunisia,None,other,,5.0
Tunisia,None,other,,12.0
Turkey,None,other,,24.5
Turkey,None,other,,21.3
Tuvalu,None,other,,8.5
Tanzania,None,other,,18.5
Tanzania,None,other,,12.0
Tanzania,None,other,,3.0
Uganda,None,other,,7.2
Ukraine,None,other,,42.8
Ukraine,None,other,,36.0
Uruguay,None,other,,13.55
United States,None,other,,8.8
United States,None,other,,15.94
United States,None,other,,
Uzbekistan,None,other,,
Uzbekistan,None,other,,21.0
"Venezuela, RB",None,other,,50.0
Vietnam,None,other,,19.8
Vietnam,None,other,,10.8
Vanuatu,None,other,,9.4
Samoa,None,other,,26.22
Kosovo,None,other,,
Kosovo,None,other,,24.72
"Yemen, Rep.",None,other,,6.0
South Africa,None,other,,
South Africa,None,other,,22.0
South Africa,None,other,,64.0
South Africa,None,other,,7.5
South Africa,None,other,,6.8
Zambia,None,other,,16.66
Zambia,None,other,,40.0
Zimbabwe,None,other,,22.0
Zimbabwe,None,other,,25.0
Zimbabwe,None,other,,16.2
Zimbabwe,None,other,,14.7
Zimbabwe,None,other,,32.74
Zimbabwe,None,other,,13.9
Zimbabwe,None,other,,25.0
Zimbabwe,None,other,,6.0
Zimbabwe,None,other,,7.0
,None,other,,
Afghanistan,None,paper_cardboard,,0.08
Afghanistan,None,paper_cardboard,,1.499
Afghanistan,None,paper_cardboard,,1.69
Afghanistan,None,paper_cardboard,,5.0
Afghanistan,None,paper_cardboard,,3.67
Angola,None,paper_cardboard,,11.0
Albania,None,paper_cardboard,,11.0
Albania,None,paper_cardboard,,18.94
United Arab Emirates,None,paper_cardboard,,25.0
United Arab Emirates,None,paper_cardboard,,24.29
Argentina,None,paper_cardboard,,13.0
Argentina,None,paper_cardboard,,13.55
Argentina,None,paper_cardboard,,16.0
Armenia,None,paper_cardboard,,10.0
Armenia,None,paper_cardboard,,4.5
American Samoa,None,paper_cardboard,,26.4
Australia,None,paper_cardboard,,15.2
Australia,None,paper_cardboard,,11.44
Australia,None,paper_cardboard,,22.0
Austria,None,paper_cardboard,,37.0
Azerbaijan,None,paper_cardboard,,18.1
Burundi,None,paper_cardboard,,
Burundi,None,paper_cardboard,,
Burundi,None,paper_cardboard,,
Burundi,None,paper_cardboard,,
Belgium,None,paper_cardboard,,35.0
Belgium,None,paper_cardboard,,
Benin,None,paper_cardboard,,
Benin,None,paper_cardboard,,3.96
Burkina Faso,None,paper_cardboard,,
Burkina Faso,None,paper_cardboard,,9.0
Bangladesh,None,paper_cardboard,,3.1
Bangladesh,None,paper_cardboard,,3.6
Bangladesh,None,paper_cardboard,,2.81
Bangladesh,None,paper_cardboard,,4.29
Bangladesh,None,paper_cardboard,,2.64
Bulgaria,None,paper_cardboard,,
Bulgaria,None,paper_cardboard,,
Bahrain,None,paper_cardboard,,
Bosnia and Herzegovina,None,paper_cardboard,,10.8
Bosnia and Herzegovina,None,paper_cardboard,,17.0
Belarus,None,paper_cardboard,,6.9
Belarus,None,paper_cardboard,,4.6
Belize,None,paper_cardboard,,13.0
Belize,None,paper_cardboard,,18.0
Bolivia,None,paper_cardboard,,12.8
Brazil,None,paper_cardboard,,27.1
Brazil,None,paper_cardboard,,14.97
Brazil,None,paper_cardboard,,16.0
Bhutan,None,paper_cardboard,,14.1
Bhutan,None,paper_cardboard,,24.6
Botswana,None,paper_cardboard,,12.5
Canada,None,paper_cardboard,,26.3
Canada,None,paper_cardboard,,15.9
Canada,None,paper_cardboard,,17.0
Switzerland,None,paper_cardboard,,
Switzerland,None,paper_cardboard,,
Chile,None,paper_cardboard,,12.0
China,None,paper_cardboard,,11.1
Côte d’Ivoire,None,paper_cardboard,,6.0
Cameroon,None,paper_cardboard,,12.5
Cameroon,None,paper_cardboard,,
Cameroon,None,paper_cardboard,,
Cameroon,None,paper_cardboard,,
"Congo, Dem. Rep.",None,paper_cardboard,,
"Congo, Rep.",None,paper_cardboard,,6.0
Colombia,None,paper_cardboard,,10.17
Colombia,None,paper_cardboard,,3.7
Colombia,None,paper_cardboard,,6.23
Comoros,None,paper_cardboard,,
Costa Rica,None,paper_cardboard,,11.0
Costa Rica,None,paper_cardboard,,7.5
Cuba,None,paper_cardboard,,9.0
Cyprus,None,paper_cardboard,,11.0
Cyprus,None,paper_cardboard,,
Czech Republic,None,paper_cardboard,,
Czech Republic,None,paper_cardboard,,
Germany,None,paper_cardboard,,25.75
Germany,None,paper_cardboard,,10.0
Djibouti,None,paper_cardboard,,
Denmark,None,paper_cardboard,,
Dominican Republic,None,paper_cardboard,,8.0
Algeria,None,paper_cardboard,,9.75
Algeria,None,paper_cardboard,,15.9
Ecuador,None,paper_cardboard,,4.25
"Egypt, Arab Rep.",None,paper_cardboard,,19.5
Spain,None,paper_cardboard,,16.4
Spain,None,paper_cardboard,,11.78
Estonia,None,paper_cardboard,,29.0
Estonia,None,paper_cardboard,,15.06
Ethiopia,None,paper_cardboard,,7.6
Ethiopia,None,paper_cardboard,,3.65
Ethiopia,None,paper_cardboard,,11.5
Ethiopia,None,paper_cardboard,,4.55
Ethiopia,None,paper_cardboard,,1.0
Ethiopia,None,paper_cardboard,,2.38
Ethiopia,None,paper_cardboard,,6.5
Ethiopia,None,paper_cardboard,,1.0
Ethiopia,None,paper_cardboard,,6.92
Ethiopia,None,paper_cardboard,,5.0
Ethiopia,None,paper_cardboard,,1.7
Ethiopia,None,paper_cardboard,,2.7
Finland,None,paper_cardboard,,
Finland,None,paper_cardboard,,14.2
Finland,None,paper_cardboard,,15.4
Fiji,None,paper_cardboard,,16.0
France,None,paper_cardboard,,
France,None,paper_cardboard,,21.3
"Micronesia, Fed. Sts.",None,paper_cardboard,,16.6
Gabon,None,paper_cardboard,,
United Kingdom,None,paper_cardboard,,36.0
United Kingdom,None,paper_cardboard,,7.0
Georgia,None,paper_cardboard,,9.5
Ghana,None,paper_cardboard,,5.3
Ghana,None,paper_cardboard,,6.5
Guinea,None,paper_cardboard,,4.3
"Gambia, The",None,paper_cardboard,,9.19
Equatorial Guinea,None,paper_cardboard,,4.1
Greece,None,paper_cardboard,,1.11
Greece,None,paper_cardboard,,22.2
Guatemala,None,paper_cardboard,,18.6
Guatemala,None,paper_cardboard,,10.0
Guatemala,None,paper_cardboard,,12.5
Honduras,None,paper_cardboard,,15.0
Honduras,None,paper_cardboard,,10.33
Croatia,None,paper_cardboard,,16.7
Croatia,None,paper_cardboard,,
Haiti,None,paper_cardboard,,12.0
Hungary,None,paper_cardboard,,15.79
Hungary,None,paper_cardboard,,10.4
Indonesia,None,paper_cardboard,,20.57
Isle of Man,None,paper_cardboard,,
India,None,paper_cardboard,,10.0
India,None,paper_cardboard,,
India,None,paper_cardboard,,
India,None,paper_cardboard,,
India,None,paper_cardboard,,5.0
India,None,paper_cardboard,,
India,None,paper_cardboard,,7.26
India,None,paper_cardboard,,
India,None,paper_cardboard,,
India,None,paper_cardboard,,6.0
India,None,paper_cardboard,,
India,None,paper_cardboard,,9.0
India,None,paper_cardboard,,9.0
India,None,paper_cardboard,,
India,None,paper_cardboard,,
India,None,paper_cardboard,,13.0
India,None,paper_cardboard,,3.9
India,None,paper_cardboard,,3.38
India,None,paper_cardboard,,0.84
India,None,paper_cardboard,,11.0
India,None,paper_cardboard,,17.0
India,None,paper_cardboard,,4.7
India,None,paper_cardboard,,
India,None,paper_cardboard,,
India,None,paper_cardboard,,7.16
India,None,paper_cardboard,,
India,None,paper_cardboard,,4.0
India,None,paper_cardboard,,7.0
India,None,paper_cardboard,,23.0
India,None,paper_cardboard,,
India,None,paper_cardboard,,
India,None,paper_cardboard,,20.26
India,None,paper_cardboard,,
India,None,paper_cardboard,,9.71
India,None,paper_cardboard,,10.0
India,None,paper_cardboard,,
India,None,paper_cardboard,,
India,None,paper_cardboard,,6.45
India,None,paper_cardboard,,2.0
India,None,paper_cardboard,,5.55
India,None,paper_cardboard,,21.4
India,None,paper_cardboard,,15.0
India,None,paper_cardboard,,
India,None,paper_cardboard,,12.89
India,None,paper_cardboard,,
India,None,paper_cardboard,,10.0
India,None,paper_cardboard,,19.59
Ireland,None,paper_cardboard,,37.0
"Iran, Islamic Rep.",None,paper_cardboard,,9.6
Iraq,None,paper_cardboard,,
Israel,None,paper_cardboard,,
Israel,None,paper_cardboard,,
Italy,None,paper_cardboard,,14.38
Italy,None,paper_cardboard,,26.2
Jordan,None,paper_cardboard,,15.0
Japan,None,paper_cardboard,,25.64
Japan,None,paper_cardboard,,35.18
Japan,None,paper_cardboard,,45.9
Japan,None,paper_cardboard,,50.0
Japan,None,paper_cardboard,,26.4
Japan,None,paper_cardboard,,35.5
Kazakhstan,None,paper_cardboard,,27.6
Kazakhstan,None,paper_cardboard,,
Kenya,None,paper_cardboard,,
Kenya,None,paper_cardboard,,17.5
Kyrgyz Republic,None,paper_cardboard,,9.2
Kyrgyz Republic,None,paper_cardboard,,27.0
Cambodia,None,paper_cardboard,,5.0
Kiribati,None,paper_cardboard,,7.0
"Korea, Rep.",None,paper_cardboard,,41.7
Kuwait,None,paper_cardboard,,
Lao PDR,None,paper_cardboard,,7.0
Lebanon,None,paper_cardboard,,15.0
Lebanon,None,paper_cardboard,,12.0
Liberia,None,paper_cardboard,,5.0
Libya,None,paper_cardboard,,15.3
Sri Lanka,None,paper_cardboard,,13.6
Sri Lanka,None,paper_cardboard,,15.7
Sri Lanka,None,paper_cardboard,,4.0
Sri Lanka,None,paper_cardboard,,2.7
Sri Lanka,None,paper_cardboard,,13.6
Sri Lanka,None,paper_cardboard,,6.6
Lithuania,None,paper_cardboard,,11.8
Lithuania,None,paper_cardboard,,10.53
Latvia,None,paper_cardboard,,6.0
Latvia,None,paper_cardboard,,
Morocco,None,paper_cardboard,,
Morocco,None,paper_cardboard,,9.0
Morocco,None,paper_cardboard,,6.0
Moldova,None,paper_cardboard,,5.5
Moldova,None,paper_cardboard,,2.0
Madagascar,None,paper_cardboard,,8.2
Maldives,None,paper_cardboard,,12.0
Maldives,None,paper_cardboard,,7.0
Maldives,None,paper_cardboard,,4.2
Mexico,None,paper_cardboard,,9.92
Mexico,None,paper_cardboard,,20.15
Mexico,None,paper_cardboard,,7.06
Marshall Islands,None,paper_cardboard,,11.1
"Macedonia, FYR",None,paper_cardboard,,3.1
"Macedonia, FYR",None,paper_cardboard,,15.3
Mali,None,paper_cardboard,,12.8
Mali,None,paper_cardboard,,
Myanmar,None,paper_cardboard,,6.0
Myanmar,None,paper_cardboard,,3.0
Montenegro,None,paper_cardboard,,13.0
Montenegro,None,paper_cardboard,,
Mongolia,None,paper_cardboard,,17.5
Northern Mariana Islands,None,paper_cardboard,,
